Wavelength(nm), SC photons / PD photons
862.0, 2357.8260949959927
863.0, 2362.0955810128844
864.0, 2361.931069859107
865.0, 2365.012639875558
866.0, 2369.7606233947663
867.0, 2382.8175597464738
868.0, 2391.1619044964423
869.0, 2393.3109176148514
870.0, 2401.280323335482
871.0, 2418.544430786195
873.0, 2417.9026575373923
874.0, 2418.777154700126
875.0, 2424.6584226081163
876.0, 2431.833217470843
877.0, 2439.21630718818
878.0, 2436.360739052498
879.0, 2446.6434862650144
880.0, 2452.120194717457
881.0, 2460.8002585749955
882.0, 2463.5959910183938
883.0, 2464.9358075909336
884.0, 2471.015009501124
885.0, 2474.213988519875
886.0, 2487.8828559593385
887.0, 2484.4781381522535
888.0, 2499.7521130947985
889.0, 2493.178980065068
890.0, 2487.112052664307
891.0, 2485.6477773845845
892.0, 2487.5386791175574
893.0, 2488.595386742893
894.0, 2479.845424028716
895.0, 2483.1289287186582
896.0, 2494.0814690096386
897.0, 2491.9105599873646
898.0, 2492.000149406219
899.0, 2491.728684436938
900.0, 2509.370949977888
901.0, 2512.657322462854
902.0, 2516.155479226883
903.0, 2522.854413187085
904.0, 2537.4610098178337
905.0, 2537.7704333327133
906.0, 2542.4222225268395
907.0, 2549.9057065626534
908.0, 2553.7219855437866
909.0, 2562.8326584101383
911.0, 2578.3206494198344
912.0, 2581.8248685480803
913.0, 2582.833930000546
914.0, 2595.0600844411974
915.0, 2606.754907522948
916.0, 2612.1007998719283
917.0, 2617.448797300416
918.0, 2613.629370357309
919.0, 2629.281884571478
920.0, 2638.7528299048504
921.0, 2659.728611736749
922.0, 2667.8670815027203
923.0, 2665.1594742469406
924.0, 2656.262831394398
925.0, 2675.750855452104
926.0, 2681.428634916256
927.0, 2695.3275357230923
928.0, 2699.54418044788
929.0, 2704.2322075754337
930.0, 2709.914238072656
931.0, 2713.8202594338873
932.0, 2719.1515458371746
933.0, 2727.475060131993
934.0, 2743.9038779625266
935.0, 2750.8875378230673
936.0, 2768.5275302546866
937.0, 2778.0527724072485
938.0, 2782.993704612571
939.0, 2791.611914364948
940.0, 2816.027120900695
941.0, 2834.907540312838
942.0, 2855.327694372938
943.0, 2873.222677414734
944.0, 2887.041563811786
945.0, 2893.1463689118214
946.0, 2913.300812659736
