Wavelength(nm), SC photons / PD electrons
574.0, 6276.578121472453
575.0, 6263.070218041433
576.0, 6311.420644976119
577.0, 6252.718462972249
578.0, 6208.783249420242
579.0, 6221.594710331042
580.0, 6167.668059095964
581.0, 6195.378638854572
582.0, 6183.491059063603
583.0, 6174.793688463418
584.0, 6145.637235470277
585.0, 6108.785423476045
586.0, 6090.225286835461
587.0, 6115.071125275185
588.0, 6098.48721792253
589.0, 6050.973548060627
590.0, 6066.158976583529
591.0, 6000.280589190222
592.0, 6040.508256393396
593.0, 6019.648623149981
594.0, 5995.719793733644
595.0, 5911.100979446867
596.0, 5913.677331630504
597.0, 5886.942418358378
598.0, 5873.39529584155
599.0, 5854.71119945255
600.0, 5836.3706485446355
601.0, 5814.3307278585735
602.0, 5852.414276316972
603.0, 5770.24747327957
604.0, 5841.925317687941
605.0, 5746.68162207138
606.0, 5749.507763449342
607.0, 5749.748473063099
608.0, 5720.635321066681
609.0, 5650.777680777254
610.0, 5649.975675374529
611.0, 5673.608266971456
612.0, 5611.097327146481
613.0, 5608.260063046417
614.0, 5551.899594418236
615.0, 5603.181500210246
616.0, 5506.375503924196
617.0, 5553.691522259769
618.0, 5544.584028590201
619.0, 5478.51759453687
620.0, 5464.168706908138
621.0, 5423.907016185211
622.0, 5410.245111265568
623.0, 5405.091294678315
624.0, 5387.445236218899
625.0, 5374.921708254611
626.0, 5386.085876632489
627.0, 5352.443685163033
628.0, 5288.868796066703
629.0, 5329.045204474406
630.0, 5239.992464331098
631.0, 5275.261371980545
632.0, 5265.118910888812
633.0, 5279.897799119602
634.0, 5222.814095984833
635.0, 5226.353926809189
636.0, 5204.866405518157
637.0, 5168.996409845223
638.0, 5123.572003340968
640.0, 5079.022779969557
641.0, 5120.526198051325
642.0, 5114.455033192691
643.0, 5067.374419481989
644.0, 5080.719726328974
645.0, 5068.231006289506
646.0, 5028.1889697549
647.0, 4989.150750605082
648.0, 5031.7146294662825
649.0, 4966.292035691407
650.0, 4908.168126064597
651.0, 4885.243544131612
653.0, 4880.488571862847
654.0, 4905.142540202127
655.0, 4828.759361141402
656.0, 4814.823209582896
657.0, 4717.783749321911
658.0, 4780.825401704063
659.0, 4742.570200374063
660.0, 4735.415747631883
661.0, 4716.945895710299
662.0, 4684.773004174857
663.0, 4705.909053811948
664.0, 4741.008953709411
665.0, 4652.19203870563
666.0, 4644.616885962021
667.0, 4619.6581740963065
668.0, 4634.193764831863
669.0, 4622.719726792874
670.0, 4609.684472020661
671.0, 4567.260790022566
672.0, 4494.620679425354
673.0, 4441.739990157258
674.0, 4346.973080936621
675.0, 4224.272403300987
676.0, 4146.186156302191
677.0, 4051.442697531693
678.0, 3913.5017682755356
679.0, 3812.4363031153007
680.0, 3707.3819847257437
681.0, 3640.053589165476
682.0, 3665.1137162069244
683.0, 3926.692343313207
684.0, 4245.389630301441
685.0, 4198.296858656717
686.0, 4145.059621986739
687.0, 4113.817841201721
688.0, 4148.715269179081
689.0, 4117.738354945947
690.0, 3989.5666922350642
691.0, 3911.9243753324135
692.0, 3834.136479136105
693.0, 3826.2519699575473
694.0, 3735.947440393459
695.0, 3606.7048583161663
696.0, 3540.2604276128986
697.0, 3493.636980834251
698.0, 3412.610070876322
699.0, 3346.026783152068
700.0, 3281.3826003025106
701.0, 3244.418647890301
702.0, 3214.5799005464564
703.0, 3121.8048949375425
704.0, 3139.3676216723557
705.0, 3135.745480694395
706.0, 3109.908348606077
707.0, 3113.054322095461
708.0, 3097.972296935728
709.0, 3086.2557114584497
710.0, 3109.2485979991316
711.0, 3093.0220167834223
712.0, 3129.365130400398
713.0, 3126.1361364259324
714.0, 3152.4303789063088
715.0, 3156.5864774985826
716.0, 3126.1674528061326
717.0, 3147.752783925742
718.0, 3114.496455763142
719.0, 3113.5975818319284
720.0, 3125.26164583253
721.0, 3125.477056939761
722.0, 3120.43686625643
723.0, 3105.7317256471924
725.0, 3106.2149573952665
726.0, 3098.660035566601
727.0, 3094.28804473033
729.0, 3066.1737270730187
730.0, 3076.316526317032
731.0, 3040.367346800099
732.0, 3007.3695850927948
733.0, 2994.8446779797437
734.0, 2974.0445644020015
735.0, 2962.748144946391
736.0, 2953.0598495274403
737.0, 2948.589672880513
738.0, 2940.265086961166
739.0, 2950.205540854227
740.0, 2949.620091634505
741.0, 2954.3948095516703
742.0, 2953.7102909021114
743.0, 2959.265295206979
744.0, 2950.1006532946403
745.0, 2949.392467453105
746.0, 2948.437375628446
747.0, 2937.3829823075257
748.0, 2946.899669894261
749.0, 2943.077830462492
750.0, 2949.551697565598
751.0, 2944.854229841594
752.0, 2942.2232404130204
753.0, 2974.8026988961615
754.0, 2961.313050865185
755.0, 2984.928487705525
756.0, 2982.0812950889635
757.0, 2993.532991622959
758.0, 2994.871832272482
759.0, 2986.45527961138
760.0, 2999.2550997087897
761.0, 2997.4319448366177
763.0, 3010.1435539436475
764.0, 3020.3253815306643
765.0, 3019.395599847699
767.0, 3041.8868050639367
768.0, 3058.272395564296
769.0, 3067.312757797018
770.0, 3079.5308048719726
771.0, 3091.160281956737
772.0, 3104.6288279807736
773.0, 3098.1809068105695
774.0, 3106.0192227653215
775.0, 3099.891302646287
776.0, 3112.873504508162
777.0, 3108.568040315105
778.0, 3109.0860687590985
779.0, 3108.381421427015
780.0, 3116.176922483135
781.0, 3110.6899685370204
782.0, 3117.080714583773
783.0, 3109.7034198407587
784.0, 3115.133566959002
785.0, 3107.045061984337
786.0, 3110.4171799097744
788.0, 3098.5355083350332
789.0, 3104.8902229904443
790.0, 3082.4778025184037
791.0, 3079.79390920414
792.0, 3069.7938012308045
793.0, 3065.4143739307424
794.0, 3060.0795132917337
795.0, 3051.477107155102
797.0, 3041.1426920805957
798.0, 3043.8188904988697
799.0, 3028.799016577903
800.0, 3014.0747355172775
801.0, 3007.468201079269
802.0, 2988.3405103163664
803.0, 2978.116052894911
804.0, 2980.018795210411
805.0, 2965.53059399933
806.0, 2955.7950253047197
807.0, 2946.836849207867
808.0, 2934.2810507041445
809.0, 2929.1726093001284
810.0, 2919.346855756974
811.0, 2915.872762900453
812.0, 2913.127564425503
813.0, 2906.682057358527
814.0, 2915.769976228063
815.0, 2902.6427783471554
