Wavelength(nm), SC charge (e-), PD charge (e-)
387.0, 0.00014757261543689318, 1.0075354999999993e-08
388.0, 0.00015419721401151631, 1.0299741428571419e-08
389.0, 0.00016178812722433459, 1.1089630000000016e-08
390.0, 0.00016515201395348838, 1.0981018749999998e-08
391.0, 0.00016224120374291117, 1.0882524999999996e-08
392.0, 0.00016125409420233462, 1.0940528749999996e-08
393.0, 0.0001589404522727272, 1.0732853749999998e-08
394.0, 0.00016221933907749076, 1.1093031249999996e-08
395.0, 0.00016782802930851066, 1.13912025e-08
396.0, 0.0001681489184749035, 1.1506278571428573e-08
397.0, 0.000171632478045977, 1.1688069999999981e-08
398.0, 0.00017140445390977443, 1.1757458749999999e-08
399.0, 0.0001697361357142857, 1.1562612499999996e-08
400.0, 0.00017205672304029302, 1.1858888571428574e-08
401.0, 0.00017195245906614784, 1.1932908750000002e-08
402.0, 0.00017904975931758534, 1.2522562499999994e-08
403.0, 0.00018723923553299495, 1.306229557692308e-08
404.0, 0.00019812231742187498, 1.379262874999999e-08
405.0, 0.0002010626303831418, 1.4066255714285717e-08
406.0, 0.0002038566814176245, 1.4449483749999997e-08
407.0, 0.0002064703858015268, 1.4871325480769246e-08
408.0, 0.00020996732704485482, 1.5118247499999995e-08
409.0, 0.0002189098805555556, 1.5786190714285726e-08
410.0, 0.00022307084738461535, 1.6256219999999997e-08
411.0, 0.00022026114165048545, 1.6008288749999995e-08
412.0, 0.00022256108328244274, 1.6433736249999993e-08
413.0, 0.00022715283077922072, 1.6598667499999987e-08
414.0, 0.00022731198190476188, 1.708229624999999e-08
415.0, 0.00023920914809160307, 1.7992867499999994e-08
416.0, 0.00023033067415204677, 1.7613256250000003e-08
417.0, 0.0002269375639846744, 1.7678030096153867e-08
418.0, 0.00023822863065134093, 1.8443387499999998e-08
419.0, 0.00024625000796116503, 1.9617463214285732e-08
420.0, 0.0002447090203501946, 1.962788142857138e-08
421.0, 0.00025279956226415093, 2.051392785714284e-08
422.0, 0.0002589672581151832, 2.117524625000001e-08
423.0, 0.00024581780611854687, 2.042942067307695e-08
424.0, 0.0002505847793320611, 2.07977775e-08
425.0, 0.00024620100615384613, 2.0597758749999995e-08
426.0, 0.0002354970915037594, 2.0113462499999993e-08
427.0, 0.00022046972698443586, 1.896490124999999e-08
428.0, 0.0001818255176502732, 1.5462483750000004e-08
429.0, 0.00020067519328922492, 1.766180767857146e-08
430.0, 0.00022384599019157088, 1.9934218888888877e-08
431.0, 0.00023769635653846154, 2.1264545000000003e-08
432.0, 0.000232374212173913, 2.1357959464285723e-08
433.0, 0.0002345351317171717, 2.162353625e-08
434.0, 0.0002353960946845124, 2.1821645833333372e-08
435.0, 0.0002355007999067164, 2.2114860000000005e-08
436.0, 0.00023234060460937503, 2.218766750000001e-08
437.0, 0.00023171598039513675, 2.201120750000001e-08
438.0, 0.00023306372127906977, 2.233139928571428e-08
439.0, 0.00023169225917159765, 2.2926035396825417e-08
440.0, 0.00023646201240310074, 2.3271816249999993e-08
441.0, 0.00023357780447761194, 2.316886517857143e-08
442.0, 0.00023464964333333332, 2.3672836666666655e-08
443.0, 0.00023382259302564098, 2.3484222884615414e-08
444.0, 0.00023755312272727267, 2.3951061249999994e-08
445.0, 0.0002390538171262136, 2.436942124999999e-08
446.0, 0.0002348790840796964, 2.4184526964285705e-08
447.0, 0.0002357202578313253, 2.4499465e-08
448.0, 0.00023490374704980844, 2.4314898750000006e-08
449.0, 0.00023205156490566044, 2.4172414999999996e-08
450.0, 0.00023796424857142848, 2.492790375e-08
451.0, 0.00022743085374031017, 2.4243911805555524e-08
452.0, 0.00022445205632707773, 2.3785057499999988e-08
453.0, 0.00022524824194552532, 2.4291105e-08
454.0, 0.00022895623285156246, 2.467355624999999e-08
455.0, 0.00024099875719696973, 2.542574750000002e-08
456.0, 0.00023965964610687027, 2.56094525e-08
457.0, 0.00023767897421455932, 2.5754332499999995e-08
458.0, 0.0002377708020441989, 2.579359124999998e-08
459.0, 0.0002354371597087379, 2.5748101249999983e-08
460.0, 0.0002325687395085066, 2.515113750000002e-08
461.0, 0.000230376089005848, 2.4885111249999997e-08
462.0, 0.0002257064728125, 2.4879446250000018e-08
463.0, 0.00022463680935483872, 2.438874159090905e-08
464.0, 0.00022152843379310349, 2.39913375e-08
465.0, 0.00022435756269230766, 2.4351723749999996e-08
466.0, 0.00022363456783938807, 2.4683343750000003e-08
