Wavelength (nm), Reflectance 
        1007, 0.7585
        1008, 0.7590
        1009, 0.7594
        1010, 0.7599
        1011, 0.7603
        1012, 0.7608
        1013, 0.7612
        1014, 0.7617
        1015, 0.7621
        1016, 0.7626
        1017, 0.7630
        1018, 0.7634
        1019, 0.7639
        1020, 0.7643
        1021, 0.7647
        1022, 0.7651
        1023, 0.7656
        1024, 0.7660
        1025, 0.7664
        1026, 0.7668
        1027, 0.7672
        1028, 0.7676
        1029, 0.7681
        1030, 0.7685
        1031, 0.7689
        1032, 0.7693
        1033, 0.7697
        1034, 0.7701
        1035, 0.7705
        1036, 0.7709
        1037, 0.7713
        1038, 0.7717
        1039, 0.7721
        1040, 0.7725
        1041, 0.7729
        1042, 0.7733
        1043, 0.7737
        1044, 0.7741
        1045, 0.7745
        1046, 0.7749
        1047, 0.7753
        1048, 0.7758
        1049, 0.7762
        1050, 0.7766
        1051, 0.7770
        1052, 0.7774
        1053, 0.7778
        1054, 0.7782
        1055, 0.7786
        1056, 0.7790
        1057, 0.7794
        1058, 0.7798
        1059, 0.7802
        1060, 0.7806
        1061, 0.7811
        1062, 0.7815
        1063, 0.7819
        1064, 0.7823
        1065, 0.7827
        1066, 0.7831
        1067, 0.7835
        1068, 0.7840
        1069, 0.7844
        1070, 0.7848
        1071, 0.7852
        1072, 0.7856
        1073, 0.7861
        1074, 0.7865
        1075, 0.7869
        1076, 0.7873
        1077, 0.7877
        1078, 0.7881
        1079, 0.7886
        1080, 0.7890
        1081, 0.7894
        1082, 0.7898
        1083, 0.7902
        1084, 0.7906
        1085, 0.7911
        1086, 0.7915
        1087, 0.7919
        1088, 0.7923
        1089, 0.7927
        1090, 0.7931
        1091, 0.7935
        1092, 0.7939
        1093, 0.7943
        1094, 0.7947
        1095, 0.7951
        1096, 0.7955
        1097, 0.7959
        1098, 0.7963
        1099, 0.7967
        1100, 0.7971
