Wavelength (nm), QE (unitless)
1030.0, 0.6799168702669425
350.0, 0.6364491528124336
410.0, 0.8926120165380259
430.0, 0.9279259594238756
465.0, 0.9437045154433804
525.0, 0.9561798474373407
530.0, 0.9595170057583803
535.0, 0.9587857670100777
545.0, 0.9600131030530349
550.0, 0.9619481268860219
560.0, 0.9639692909363057
570.0, 0.964781712973595
575.0, 0.964225013767522
585.0, 0.966040070751615
595.0, 0.9661609096610437
605.0, 0.9670661865135105
660.0, 0.9612653436344222
670.0, 0.9648326207439347
730.0, 0.9607645263714516
750.0, 0.9547125644485136
760.0, 0.9543591406067522
775.0, 0.9488873760264462
820.0, 0.9414465179380409
830.0, 0.9387325441297473
850.0, 0.9318052039213816
910.0, 0.911446883682115
940.0, 0.8896440654706892
955.0, 0.87407720841813
975.0, 0.849872017513317
1005.0, 0.7844205469120062
1035.0, 0.6553539497550388
1045.0, 0.6000069874629183
415.0, 0.90333771261876
420.0, 0.9081522859330605
425.0, 0.9227383587482265
430.0, 0.9228566109658869
445.0, 0.9347453926396555
485.0, 0.9498680803366738
520.0, 0.95494035726559
525.0, 0.9557070479977275
555.0, 0.9625937332071901
565.0, 0.965180717661146
625.0, 0.9595065332576741
660.0, 0.9699608368160332
665.0, 0.9615912211848421
675.0, 0.9635591209110317
690.0, 0.9637033992107829
710.0, 0.9642496200037534
720.0, 0.9558103383188298
730.0, 0.9601903915786789
735.0, 0.9592313953998228
800.0, 0.9469415917502368
825.0, 0.9359667741207819
855.0, 0.9322924676621306
860.0, 0.9320444772405748
875.0, 0.9275501168011864
920.0, 0.9113614942409406
940.0, 0.8912008336571791
945.0, 0.8869839736250279
970.0, 0.8613153608100989
975.0, 0.8482700855210762
995.0, 0.809107397273134
1040.0, 0.6245349374844731
1045.0, 0.7051929003606431
375.0, 0.7255557578852047
795.0, 0.9450638247008911
840.0, 0.9348057106741453
960.0, 0.8773707934549199
1010.0, 0.7627727924272903
1045.0, 0.5940474232329437
375.0, 0.7104372542762819
445.0, 0.9334421335906858
580.0, 0.961353918228824
585.0, 0.9654563198865774
605.0, 0.9629150770436833
670.0, 0.9623747327801375
690.0, 0.9652127610719183
700.0, 0.959702421914086
735.0, 0.9580457405562076
745.0, 0.9560176661091477
785.0, 0.9473454688297269
880.0, 0.9243468568277331
890.0, 0.9212341787306271
900.0, 0.9181769749815714
930.0, 0.9006021694468771
940.0, 0.8781298928844217
965.0, 0.8629894622870141
995.0, 0.7932898755053143
1015.0, 0.7438333821616987
1025.0, 0.696918110814768
1035.0, 0.6389720043547008
1045.0, 0.5902336531934577
1050.0, 0.5541926279712862
